1 ,2024-10-09-13:02:00, python
2 ,2024-10-09-13:06:12, pwd
3 ,2024-10-09-13:06:13, ls
4 ,2024-10-09-13:06:30, cd W02-Practice
5 ,2024-10-09-13:06:44, ls
6 ,2024-10-09-13:07:00, cat(README.md
7 ,2024-10-09-13:07:10, cat(README.md)
8 ,2024-10-09-13:07:22, cat README.md
9 ,2024-10-09-13:07:34, pwd
10 ,2024-10-09-13:07:37, pwd
11 ,2024-10-09-13:07:38, ls
12 ,2024-10-09-13:07:52, mkdir data
13 ,2024-10-09-13:07:57, ls
14 ,2024-10-09-13:08:01, cd data
15 ,2024-10-09-13:08:07, mkdir code
16 ,2024-10-09-13:08:08, ls
17 ,2024-10-09-13:08:13, cd code
18 ,2024-10-09-13:08:14, cd :
19 ,2024-10-09-13:08:18, :
20 ,2024-10-09-13:08:26, cd :~
21 ,2024-10-09-13:08:29, ~
22 ,2024-10-09-13:08:32, ~:
23 ,2024-10-09-13:09:00, history
24 ,2024-10-09-13:09:56, print-history
25 ,2024-10-09-13:11:57, print-history > ./data/bash_history.csv
26 ,2024-10-09-13:12:17, cd :
27 ,2024-10-09-13:12:20, cd ~
28 ,2024-10-09-13:12:27, cd files
29 ,2024-10-09-13:12:35, cd W02-Practice
30 ,2024-10-09-13:12:39, cd ~:
31 ,2024-10-09-13:12:43, cd :
32 ,2024-10-09-13:13:01, cd ..
33 ,2024-10-09-13:13:13, cd W02-Practice
34 ,2024-10-09-13:13:43, print-history > ./data/bash_history.csv
