1 ,2024-10-09-18:38:31, ls
2 ,2024-10-09-18:38:35, cd W02-Practice
3 ,2024-10-09-18:38:38, mkdir data
4 ,2024-10-09-18:38:41, mkdir code
5 ,2024-10-09-18:38:42, ls
6 ,2024-10-09-18:38:48, history
7 ,2024-10-09-18:38:51, print-history
8 ,2024-10-09-18:39:12, print-history > ./data/bash_history.csv
9 ,2024-10-09-18:39:17, cd data
10 ,2024-10-09-18:39:18, ls
11 ,2024-10-09-18:39:29, cat bash_history.csv
12 ,2024-10-09-18:40:12, cat bash_history.csv
13 ,2024-10-09-18:40:18, head bash_history.csv
14 ,2024-10-09-18:40:23, tail bash_history.csv
15 ,2024-10-09-18:40:35, head -n 5 bash_history.csv
16 ,2024-10-09-18:40:42, head -n 2 bash_history.csv
17 ,2024-10-09-18:40:49, tail -n 5 bash_history.csv
18 ,2024-10-09-18:40:56, tail -n 2 bash_history.csv
19 ,2024-10-09-18:41:11, grep -c 'ls' bash_history.csv
20 ,2024-10-09-18:41:26, grep -c 'print-history' bash_history.csv
21 ,2024-10-09-18:41:39, grep -c 'cd' bash_history.csv
22 ,2024-10-09-18:41:59, cut -d , -f 3 bash_history.csv | cut -f 2 -d ' ' | sort | uniq -c | sort -nr | head -n 5
23 ,2024-10-09-18:42:26, print-history > ./bash_history.csv
24 ,2024-10-09-18:42:28, ls
25 ,2024-10-09-18:43:28, cd
26 ,2024-10-09-18:43:43, print-history > ./data/bash_history.csv
27 ,2024-10-09-18:43:56, cd W02-Practice
28 ,2024-10-09-18:44:09, print-history > ./data/bash_history.csv
29 ,2024-10-09-18:44:16, python
30 ,2024-10-09-18:52:12, cat ./data/bash_history.json
31 ,2024-10-09-18:53:09, touch ./code/commands_analysis.py
32 ,2024-10-09-18:53:16, ls
33 ,2024-10-09-18:53:20, cd code
34 ,2024-10-09-18:53:21, lse
35 ,2024-10-09-18:53:22, ls
36 ,2024-10-09-18:53:37, nano commands_analysis.py
37 ,2024-10-09-18:56:03, cd
38 ,2024-10-09-18:56:12, cd W02-Practice/data
39 ,2024-10-09-18:56:23, print-history > bash_history.csv
