1 ,2024-10-06-18:03:18, mkdir W02-Practice
2 ,2024-10-06-18:04:05, cd W02-Practice
3 ,2024-10-06-18:04:23, mkdir data
4 ,2024-10-06-18:04:27, mkdir code
5 ,2024-10-06-18:04:35, history
6 ,2024-10-06-18:04:39, print-history
7 ,2024-10-06-18:05:18, print-history > ./data/bash_history.csv
8 ,2024-10-06-18:05:40, cat ./data/bash_history.csv
9 ,2024-10-06-18:47:49, cd data
10 ,2024-10-06-18:48:00, cat bash_history.csv
11 ,2024-10-06-18:52:43, head bash_history.csv
12 ,2024-10-06-18:53:27, tail bash_history.csv
13 ,2024-10-06-19:11:15, head -n 5 bash_history.csv
14 ,2024-10-06-19:11:29, tail -n 5 bash_history.csv
15 ,2024-10-06-19:11:55, wc -1 bash_history.csv
16 ,2024-10-06-19:13:31, wc --help
17 ,2024-10-06-19:14:00, wc-1 bash_history.csv
18 ,2024-10-06-19:14:26, wc -1 bash_history.csv
19 ,2024-10-06-19:14:46, wc -w bash_history.csv
20 ,2024-10-06-19:15:23, grep -c 'ls' bash_history.csv
21 ,2024-10-06-19:16:57, print-history > ./data/bash_history.csv
22 ,2024-10-06-19:17:11, cd ~
23 ,2024-10-06-19:17:33, cd files
24 ,2024-10-06-19:17:42, cd W02-Practice
25 ,2024-10-06-19:18:01, print-history > ./data/bash_history.csv
26 ,2024-10-07-19:33:37, cd W02-Practice
27 ,2024-10-07-19:33:54, print-history > ./data/bash_history.csv
28 ,2024-10-07-19:34:57, python
29 ,2024-10-07-20:37:37, cat bash_history.json
30 ,2024-10-07-20:37:43, cd data
31 ,2024-10-07-20:37:49, cat bash_history.json
32 ,2024-10-07-20:39:17, print-history > ./data/bash_history.csv
33 ,2024-10-07-20:39:34, cd
34 ,2024-10-07-20:39:41, cd W02-Practice
35 ,2024-10-07-20:40:00, print-history > ./data/bash_history.csv
36 ,2024-10-07-20:42:25, touch ./code/commands_analysis.py
37 ,2024-10-07-20:42:59, nano ./code/commans_analysis.py
38 ,2024-10-07-21:04:42, nano ./code/commands_analysis.py
39 ,2024-10-07-21:25:15, python code/commands_analysis.py
40 ,2024-10-07-21:27:58, nano ./code/commands_analysis.py
41 ,2024-10-07-21:29:52, python code/commands_analysis.py
42 ,2024-10-07-21:36:46, [200~python code/commands_analysis.py~
43 ,2024-10-07-21:37:10, python code/commands_analysis.py
44 ,2024-10-07-21:41:26, touch ./code/commands_analysis.py
45 ,2024-10-07-21:41:59, nano ./code/commands_analysis.py
46 ,2024-10-07-21:43:05, python code/commans_analysis.py
47 ,2024-10-07-21:43:40, python code/commands_analysis.py
48 ,2024-10-07-21:44:23, print-history > ./data/bash_history.csv
