1 ,2024-10-07-12:37:31, python
2 ,2024-10-09-13:45:59, cd W02-Practice
3 ,2024-10-09-13:46:04, mkdir data
4 ,2024-10-09-13:46:06, mkdir code
5 ,2024-10-09-13:46:09, history
6 ,2024-10-09-13:46:12, print-history
7 ,2024-10-09-13:46:43, print-history > ./data/bash_history.csv
8 ,2024-10-09-13:47:24, cat ./data/bash_history.csv
9 ,2024-10-09-13:50:48, cd data
10 ,2024-10-09-13:50:54, cat bash_history.csv
11 ,2024-10-09-13:51:35, head bash_history.csv
12 ,2024-10-09-13:51:44, tail bash_history.csv
13 ,2024-10-09-13:52:06, head -n 5 bash_history.csv
14 ,2024-10-09-13:52:17, tail -n 5 bash_history.csv
15 ,2024-10-09-13:52:36, wc -1 bash_history.csv
16 ,2024-10-09-13:53:09, wc -w bash_history.csv
17 ,2024-10-09-13:53:26, wc -1 bash_history.csv
18 ,2024-10-09-13:53:37, wc -l bash_history.csv
19 ,2024-10-09-13:54:10, ls
20 ,2024-10-09-13:54:28, grep -c 'ls' bash_history.csv
21 ,2024-10-09-13:55:01, grep -i 'ls' bash_history.csv
22 ,2024-10-09-13:55:09, grep -c -i 'ls' bash_history.csv
23 ,2024-10-09-13:57:13, ../
24 ,2024-10-09-13:57:54, cd
25 ,2024-10-09-13:58:06, cd W02-Practice
26 ,2024-10-09-13:58:15, print-history > ./data/bash_history.csv
